hdi_ranking;Country;hdi_score
1;Norway;0.943
2;Australia;0.929
3;Netherlands;0.910
4;United States ;0.910
5;New Zealand;0.908
6;Canada;0.908
7;Ireland;0.908
8;Liechtenstein;0.905
9;Germany;0.905
10;Sweden;0.904
11;Switzerland;0.903
12;Japan;0.901
13;Hong Kong, China (SAR);0.898
14;Iceland;0.898
15;Korea, Republic of ;0.897
16;Denmark;0.895
17;Israel;0.888
18;Belgium;0.886
19;Austria;0.885
20;France;0.884
21;Slovenia;0.884
22;Finland;0.882
23;Spain;0.878
24;Italy;0.874
25;Luxembourg;0.867
26;Singapore;0.866
27;Czech Republic;0.865
28;United Kingdom;0.863
29;Greece;0.861
30;United Arab Emirates ;0.846
31;Cyprus;0.840
32;Andorra;0.838
33;Brunei Darussalam;0.838
34;Estonia;0.835
35;Slovakia;0.834
36;Malta;0.832
37;Qatar;0.831
38;Hungary;0.816
39;Poland;0.813
40;Lithuania;0.810
41;Portugal;0.809
42;Bahrain;0.806
43;Latvia;0.805
44;Chile;0.805
45;Argentina;0.797
46;Croatia;0.796
47;Barbados;0.793
48;Uruguay;0.783
49;Palau;0.782
50;Romania;0.781
