happiness_ranking;country;happiness_score;year
1;Denmark ;7.693;2012
2;Norway ;7.655;2012
3;Switzerland ;7.650;2012
4;Netherlands ;7.512;2012
5;Sweden ;7.480;2012
6;Canada ;7.477;2012
7;Finland ;7.389;2012
8;Austria ;7.369;2012
9;Iceland ;7.355;2012
10;Australia ;7.350;2012
11;Israel ;7.301;2012
12;Costa Rica ;7.257;2012
13;New Zealand ;7.221;2012
14;United Arab Emirates ;7.144;2012
15;Panama ;7.143;2012
16;Mexico ;7.088;2012
17;United States ;7.082;2012
18;Ireland ;7.076;2012
19;Luxembourg ;7.054;2012
20;Venezuela ;7.039;2012
21;Belgium ;6.967;2012
22;United Kingdom ;6.883;2012
23;Oman ;6.853;2012
24;Brazil ;6.849;2012
25;France ;6.764;2012
26;Germany ;6.672;2012
27;Qatar ;6.666;2012
28;Chile ;6.587;2012
29;Argentina ;6.562;2012
30;Singapore ;6.546;2012
31;Trinidad and Tobago ;6.519;2012
32;Kuwait ;6.515;2012
33;Saudi Arabia ;6.480;2012
34;Cyprus ;6.466;2012
35;Colombia ;6.416;2012
36;Thailand ;6.371;2012
37;Uruguay ;6.355;2012
38;Spain ;6.322;2012
39;Czech Republic ;6.290;2012
40;Suriname ;6.269;2012
41;South Korea ;6.267;2012
42;Taiwan ;6.221;2012
43;Japan ;6.064;2012
44;Slovenia ;6.060;2012
45;Italy ;6.021;2012
46;Slovakia ;5.969;2012
47;Guatemala ;5.965;2012
48;Malta ;5.964;2012
49;Ecuador ;5.865;2012
50;Bolivia ;5.857;2012
51;Poland ;5.822;2012
52;El Salvador ;5.809;2012
53;Moldova ;5.791;2012
54;Paraguay ;5.779;2012
55;Peru ;5.776;2012
56;Malaysia ;5.760;2012
57;Kazakhstan ;5.671;2012
58;Croatia ;5.661;2012
59;Turkmenistan ;5.628;2012
60;Uzbekistan ;5.623;2012
61;Angola ;5.589;2012
62;Albania ;5.550;2012
63;Vietnam ;5.533;2012
64;Hong Kong ;5.523;2012
65;Nicaragua ;5.507;2012
66;Belarus ;5.504;2012
67;Mauritius ;5.477;2012
68;Russia ;5.464;2012
69;North Cyprus ;5.463;2012
70;Greece ;5.435;2012
71;Lithuania ;5.426;2012
72;Estonia ;5.426;2012
73;Algeria ;5.422;2012
74;Jordan ;5.414;2012
75;Jamaica ;5.374;2012
76;Indonesia ;5.348;2012
77;Turkey ;5.345;2012
78;Libya ;5.340;2012
79;Bahrain ;5.312;2012
80;Montenegro ;5.299;2012
81;Pakistan ;5.292;2012
82;Nigeria ;5.248;2012
83;Kosovo ;5.222;2012
84;Honduras ;5.142;2012
85;Portugal ;5.101;2012
86;Ghana ;5.091;2012
87;Ukraine ;5.057;2012
88;Latvia ;5.046;2012
89;Kyrgyzstan ;5.042;2012
90;Romania ;5.033;2012
91;Zambia ;5.006;2012
92;Philippines ;4.985;2012
93;China ;4.978;2012
94;Mozambique ;4.971;2012
95;Dominican Republic ;4.963;2012
96;South Africa ;4.963;2012
97;Lebanon ;4.931;2012
98;Lesotho ;4.898;2012
99;Morocco ;4.885;2012
100;Swaziland ;4.867;2012
101;Somaliland region ;4.847;2012
102;Mongolia ;4.834;2012
103;Zimbabwe ;4.827;2012
104;Tunisia ;4.826;2012
105;Iraq ;4.817;2012
106;Serbia ;4.813;2012
107;Bosnia and Herzegovina ;4.813;2012
108;Bangladesh ;4.804;2012
109;Laos ;4.787;2012
110;Hungary ;4.775;2012
111;India ;4.772;2012
112;Mauritania ;4.758;2012
113;Palestinian Territories ;4.700;2012
114;Djibouti ;4.690;2012
115;Iran ;4.643;2012
116;Azerbaijan ;4.604;2012
117;Congo (Kinshasa) ;4.578;2012
118;Macedonia ;4.574;2012
119;Ethiopia ;4.561;2012
120;Uganda ;4.443;2012
121;Myanmar ;4.439;2012
122;Cameroon ;4.420;2012
123;Kenya ;4.403;2012
124;Sudan ;4.401;2012
125;Tajikistan ;4.380;2012
126;Haiti ;4.341;2012
127;Sierra Leone ;4.318;2012
128;Armenia ;4.316;2012
129;Congo (Brazzaville) ;4.297;2012
130;Egypt ;4.273;2012
131;Burkina Faso ;4.259;2012
132;Mali ;4.247;2012
133;Liberia ;4.196;2012
134;Georgia ;4.187;2012
135;Nepal ;4.156;2012
136;Niger ;4.152;2012
137;Sri Lanka ;4.151;2012
138;Gabon ;4.114;2012
139;Malawi ;4.113;2012
140;Cambodia ;4.067;2012
141;Chad ;4.056;2012
142;Yemen ;4.054;2012
143;Afghanistan ;4.040;2012
144;Bulgaria ;3.981;2012
145;Botswana ;3.970;2012
146;Madagascar ;3.966;2012
147;Senegal ;3.959;2012
148;Syria ;3.892;2012
149;Comoros ;3.851;2012
150;Guinea ;3.847;2012
151;Tanzania ;3.770;2012
152;Rwanda ;3.715;2012
153;Burundi ;3.706;2012
154;Central African Republic ;3.623;2012
155;Benin ;3.528;2012
156;Togo ;2.936;2012
